ukprn,max_award_amount,lower_award_amount,primary_key_contact_email_address
10083728,"£4,000","£2,000",asd@example.com
10000055,"£6,000","£3,000",asd@example.com
10004927,"£6,000","£3,000",asd@example.com
10057981,"£6,000","£3,000",asd@example.com
10000330,"£5,000","£2,500",asd@example.com
10082366,"£6,000","£3,000",asd@example.com
10000415,"£6,000","£3,000",asd@example.com
10000528,"£6,000","£3,000",asd@example.com
10000533,"£6,000","£3,000",asd@example.com
10000536,"£6,000","£3,000",asd@example.com
